element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Y,JTH-1.1-std,11.0,30.0,30,1.0,0.0,0.02,0.03,0.03,0.04,0.1,0.09,0.09,0.09,0.09,0.1
Y,GBRV-1.X,11.0,30.0,30,1.0,0.0,0.0,0.01,0.01,0.1,0.08,0.09,0.09,0.07,0.09,0.09
Y,PSL-PAW-v1-high,11.0,35.0,35,1.26,0.03,0.05,0.02,0.02,0.18,0.1,0.09,0.12,0.07,0.11,0.05
Y,DOJO-041-std,11.0,60.0,65,2.83,0.09,0.1,0.05,0.05,0.4,0.11,0.08,0.11,0.09,0.1,0.05
Y,SG15,11.0,35.0,35,1.26,0.1,0.07,0.03,0.03,0.36,0.16,0.17,0.21,0.14,0.2,0.11
Y,PSL-US-v1-high,11.0,35.0,35,1.26,0.1,0.13,0.08,0.08,0.41,0.14,0.11,0.13,0.13,0.12,0.07
Y,SPMS,11.0,30.0,30,1.0,0.27,0.13,0.07,0.07,0.54,0.39,0.41,0.48,0.3,0.46,0.31
