element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
F,PSL-PAW-v0.x,7.0,65.0,75,2.07,0.0,0.03,0.03,0.05,0.03,0.01,0.02,0.05,0.02,0.01,0.06
F,PSL-US-v0.x,7.0,65.0,75,2.07,0.0,0.04,0.09,0.03,0.02,0.01,0.01,0.07,0.04,0.01,0.04
F,JTH-1.1-std,7.0,70.0,70,2.32,0.0,0.1,0.08,0.1,0.11,0.05,0.06,0.06,0.05,0.07,0.08
F,PSL-PAW-v1-high,7.0,70.0,70,2.32,0.01,0.05,0.04,0.03,0.05,0.06,0.03,0.14,0.03,0.04,0.04
F,PSL-US-v1-high,7.0,70.0,70,2.32,0.02,0.11,0.05,0.1,0.1,0.06,0.04,0.17,0.08,0.05,0.02
F,SG15,7.0,90.0,90,3.38,0.03,0.02,0.12,0.13,0.02,0.05,0.03,0.2,0.07,0.06,0.08
F,SPMS,7.0,200.0,200,11.18,0.07,0.16,0.24,0.26,0.14,0.05,0.06,0.04,0.14,0.04,0.12
F,GBRV-1.X,7.0,40.0,40,1.0,0.08,0.21,0.23,0.27,0.18,0.07,0.07,0.02,0.1,0.07,0.09
F,DOJO-041-std,7.0,75.0,80,2.57,0.08,0.17,0.25,0.28,0.15,0.05,0.06,0.04,0.14,0.04,0.12
