element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Po,PSL-US-v1-high,16.0,70.0,150,25.35,0.58,0.02,0.14,0.18,0.05,0.21,0.49,1.79,0.29,0.48,0.5
Po,PSL-PAW-v1-high,16.0,70.0,150,25.35,0.6,0.02,0.15,0.19,0.05,0.24,0.56,1.83,0.31,0.53,0.55
Po,DOJO-041-std,16.0,55.0,60,17.65,0.72,0.06,0.07,0.12,0.02,0.24,0.66,2.16,0.26,0.6,0.63
Po,DOJO-050-std,16.0,60.0,60,20.11,2.84,1.66,1.15,1.11,2.76,2.0,2.16,7.53,1.16,2.12,0.99
Po,JTH-1.1-std,6.0,30.0,30,1.0,4.49,0.12,0.28,0.56,0.41,1.28,3.61,13.02,1.49,3.19,3.1
