element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Pu,PSL-US-v1-high,16.0,40.0,55,1.0,0.27,0.71,0.32,0.41,0.36,0.41,0.16,0.06,0.05,0.27,0.17
Pu,MARBURG,16.0,200.0,200,11.18,0.34,0.76,0.36,0.27,0.84,0.19,0.19,0.25,0.22,0.14,0.05
