element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Sm,PSL-US-v1-high,26.0,150.0,150,34.0,0.76,0.46,0.43,2.44,0.07,0.05,0.1,0.02,0.21,0.09,0.05
Sm,JTH-1.1-std,16.0,150.0,150,12.88,4.0,6.91,7.02,2.92,6.04,0.88,1.86,3.66,1.51,1.47,1.46
Sm,Wentzcovitch,16.0,150.0,150,12.88,4.64,7.46,9.66,3.85,6.16,0.85,1.66,3.39,1.63,1.37,1.27
Sm,PSL-PAW-v1-low,11.0,45.0,45,1.0,33.06,69.71,39.76,44.08,40.5,3.99,11.15,21.38,16.08,5.47,8.66
Sm,PSL-US-v1-low,11.0,45.0,45,1.0,33.16,69.87,39.92,44.23,40.63,4.03,11.17,21.39,16.16,5.48,8.68
