element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Ce,PSL-PAW-v1-high,22.0,200.0,200,68.85,0.08,0.28,0.18,0.23,0.02,0.13,0.05,0.14,0.01,0.08,0.04
Ce,PSL-US-v1-high,22.0,200.0,200,68.85,0.39,0.71,0.96,0.74,0.2,0.01,0.02,0.14,0.14,0.02,0.0
Ce,Wentzcovitch,12.0,35.0,35,1.5,0.66,1.19,1.11,0.92,0.7,0.26,0.36,0.98,0.47,0.36,0.33
Ce,JTH-1.1-std,12.0,30.0,150,1.19,2.72,4.66,3.2,3.14,3.14,1.32,1.65,3.74,2.15,1.59,1.4
Ce,PSL-PAW-v1-low,11.0,40.0,40,1.54,24.21,43.97,29.48,36.66,23.1,8.42,15.11,21.37,15.79,9.69,11.1
Ce,PSL-US-v1-low,11.0,40.0,40,1.54,24.3,44.17,29.55,36.8,23.25,8.46,15.13,21.44,15.88,9.7,11.12
