element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Xe,DOJO-050-std,8.0,200.0,200,17.21,0.33,0.48,0.57,0.57,0.53,0.25,0.19,0.56,0.36,0.12,0.22
Xe,DOJO-041-std,8.0,65.0,120,3.19,1.15,0.44,0.57,0.55,0.48,0.24,1.19,3.18,0.09,1.03,1.08
Xe,PSL-PAW-v1-high,18.0,150.0,150,56.6,1.53,0.03,0.08,0.1,0.08,0.6,1.66,4.23,0.27,1.41,1.48
Xe,PSL-US-v1-high,18.0,150.0,150,56.6,1.54,0.2,0.4,0.43,0.23,0.6,1.66,4.23,0.23,1.39,1.48
Xe,SPMS,8.0,30.0,30,1.0,1.89,0.35,0.48,0.48,0.38,0.56,1.93,5.22,0.15,1.67,1.81
Xe,SG15,18.0,70.0,70,18.04,2.08,0.87,1.3,1.3,0.85,0.71,2.1,5.48,0.11,1.74,1.89
Xe,JTH-1.1-std,8.0,30.0,150,1.0,2.17,0.2,0.15,0.17,0.27,0.28,1.93,6.31,0.1,1.49,1.81
