element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Nb,JTH-1.1-std,13.0,30.0,30,1.0,0.02,0.08,0.07,0.06,0.03,0.15,0.13,0.13,0.11,0.13,0.1
Nb,DOJO-041-std,13.0,65.0,70,3.19,0.05,0.1,0.14,0.13,0.17,0.17,0.15,0.18,0.09,0.14,0.13
Nb,GBRV-1.X,13.0,30.0,30,1.0,0.05,0.15,0.14,0.13,0.15,0.18,0.15,0.16,0.17,0.16,0.11
Nb,PSL-PAW-v0.x,13.0,30.0,35,1.0,0.09,0.11,0.08,0.08,0.22,0.21,0.2,0.26,0.12,0.2,0.16
Nb,PSL-PAW-v1-high,13.0,35.0,60,1.26,0.09,0.12,0.09,0.09,0.23,0.21,0.2,0.26,0.13,0.2,0.16
Nb,SG15,13.0,50.0,50,2.15,0.11,0.13,0.12,0.12,0.25,0.24,0.22,0.29,0.13,0.22,0.18
Nb,PSL-US-v0.x,13.0,30.0,35,1.0,0.11,0.15,0.15,0.14,0.27,0.25,0.22,0.27,0.16,0.22,0.18
Nb,SPMS,13.0,45.0,50,1.84,0.12,0.13,0.15,0.15,0.22,0.25,0.24,0.32,0.14,0.24,0.2
Nb,PSL-US-v1-high,13.0,35.0,60,1.26,0.13,0.17,0.18,0.17,0.29,0.27,0.23,0.28,0.17,0.23,0.2
