element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Os,PSL-US-v1-low,16.0,45.0,50,7.35,0.0,0.05,0.08,0.09,0.05,0.0,0.03,0.08,0.05,0.03,0.01
Os,PSL-US-v1-high,30.0,200.0,200,242.06,0.0,0.07,0.04,0.08,0.08,0.01,0.05,0.06,0.06,0.06,0.03
Os,PSL-PAW-v1-low,16.0,45.0,50,7.35,0.0,0.06,0.09,0.1,0.07,0.03,0.03,0.08,0.06,0.03,0.02
Os,GBRV-1.X,16.0,30.0,35,4.0,0.01,0.08,0.12,0.12,0.06,0.03,0.04,0.03,0.08,0.03,0.04
Os,PSL-PAW-v1-high,30.0,75.0,80,55.59,0.04,0.15,0.16,0.17,0.15,0.08,0.07,0.08,0.12,0.08,0.06
Os,SG15,16.0,45.0,50,7.35,0.05,0.16,0.17,0.18,0.18,0.11,0.07,0.07,0.14,0.08,0.06
Os,DOJO-041-std,16.0,55.0,60,9.93,0.05,0.17,0.19,0.19,0.17,0.08,0.09,0.08,0.15,0.1,0.07
Os,SPMS,16.0,30.0,30,4.0,0.16,0.02,0.07,0.03,0.02,0.11,0.26,0.54,0.03,0.25,0.22
Os,JTH-1.1-std,8.0,30.0,30,1.0,0.55,0.12,0.06,0.07,0.56,0.36,0.57,1.57,0.08,0.69,0.36
