element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Ba,DOJO-050-std,10.0,200.0,200,17.21,0.04,0.1,0.09,0.09,0.16,0.14,0.08,0.09,0.18,0.09,0.17
Ba,SG15,10.0,40.0,40,1.54,0.23,0.12,0.09,0.09,0.06,0.08,0.03,0.83,0.13,0.04,0.11
Ba,SPMS,10.0,30.0,30,1.0,0.39,0.17,0.15,0.13,0.14,0.17,0.06,1.32,0.19,0.1,0.17
Ba,DOJO-041-str,10.0,200.0,200,17.21,3.19,0.97,0.32,0.33,2.88,0.99,1.47,9.26,2.15,1.38,1.04
Ba,PSL-PAW-v1-high,10.0,30.0,30,1.0,3.25,0.86,0.25,0.26,2.72,1.0,1.5,9.5,2.17,1.41,1.07
Ba,PSL-US-v1-high,10.0,30.0,30,1.0,3.28,0.95,0.32,0.34,2.88,1.01,1.52,9.53,2.23,1.43,1.09
Ba,DOJO-041-std,10.0,35.0,40,1.26,3.36,1.02,0.35,0.35,3.04,1.05,1.56,9.74,2.26,1.46,1.11
Ba,GBRV-1.X,10.0,200.0,200,17.21,3.58,0.46,0.17,0.18,2.19,1.05,1.79,10.77,1.68,1.52,1.41
Ba,JTH-1.1-std,10.0,150.0,150,11.18,5.3,1.18,0.31,0.39,4.51,1.75,2.54,15.34,3.4,2.36,1.94
