element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Tc,GBRV-1.X,15.0,30.0,30,1.0,0.02,0.11,0.13,0.13,0.1,0.13,0.11,0.12,0.13,0.12,0.09
Tc,PSL-PAW-v0.x,15.0,35.0,40,1.26,0.04,0.1,0.07,0.04,0.1,0.1,0.11,0.22,0.07,0.11,0.09
Tc,JTH-1.1-std,15.0,30.0,30,1.0,0.05,0.12,0.13,0.14,0.09,0.13,0.14,0.23,0.14,0.16,0.11
Tc,DOJO-041-std,15.0,65.0,70,3.19,0.07,0.16,0.14,0.1,0.13,0.15,0.15,0.28,0.11,0.15,0.12
Tc,PSL-PAW-v1-high,15.0,200.0,200,17.21,0.07,0.14,0.11,0.07,0.13,0.14,0.16,0.29,0.1,0.16,0.12
Tc,PSL-US-v0.x,15.0,35.0,40,1.26,0.07,0.12,0.12,0.08,0.11,0.11,0.15,0.32,0.08,0.14,0.12
Tc,PSL-US-v1-high,15.0,200.0,200,17.21,0.11,0.24,0.21,0.16,0.21,0.23,0.19,0.3,0.18,0.19,0.16
Tc,SG15,15.0,30.0,30,1.0,0.14,0.11,0.06,0.02,0.29,0.05,0.22,0.47,0.07,0.18,0.19
Tc,SPMS,15.0,30.0,30,1.0,0.31,0.32,0.1,0.09,0.62,0.2,0.42,0.71,0.12,0.34,0.41
