element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Gd,PSL-PAW-v1-high,28.0,150.0,150,47.05,0.25,0.8,0.3,0.35,0.07,0.21,0.13,0.13,0.11,0.12,0.12
Gd,Wentzcovitch,18.0,120.0,120,13.91,2.95,7.46,1.92,1.57,4.51,0.31,1.17,2.48,0.57,0.81,0.78
Gd,JTH-1.1-std,18.0,120.0,150,13.91,4.65,9.82,3.6,3.1,8.2,1.01,2.5,4.62,1.35,1.92,1.79
Gd,PSL-PAW-v1-low,11.0,40.0,40,1.0,24.21,48.58,12.91,14.93,43.76,0.94,9.01,31.29,11.0,3.07,6.32
Gd,PSL-US-v1-low,11.0,40.0,40,1.0,24.28,48.71,12.97,14.98,43.96,0.97,9.02,31.27,11.06,3.08,6.33
