element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Sn,GBRV-1.X,14.0,75.0,120,48.42,0.02,0.08,0.09,0.07,0.18,0.05,0.06,0.08,0.05,0.03,0.03
Sn,JTH-1.1-std,14.0,35.0,120,15.44,0.1,0.12,0.13,0.16,0.02,0.05,0.26,0.32,0.01,0.2,0.18
Sn,SG15,14.0,35.0,40,15.44,0.14,0.2,0.26,0.25,0.01,0.09,0.15,0.42,0.26,0.07,0.08
Sn,DOJO-041-str,22.0,90.0,90,157.18,0.2,0.29,0.33,0.24,0.33,0.17,0.34,0.34,0.29,0.33,0.24
Sn,SPMS,14.0,35.0,35,15.44,0.24,0.25,0.27,0.25,0.14,0.22,0.39,0.11,0.3,0.55,0.49
Sn,PSL-PAW-v1-high,14.0,70.0,100,43.66,0.4,0.18,0.21,0.2,0.05,0.22,0.75,0.87,0.28,0.68,0.51
Sn,PSL-US-v1-high,14.0,70.0,70,43.66,0.42,0.21,0.23,0.22,0.08,0.22,0.78,0.94,0.29,0.7,0.52
Sn,DOJO-041-std,14.0,65.0,65,39.07,0.48,0.13,0.1,0.09,0.1,0.19,0.9,1.07,0.2,0.79,0.58
Sn,JTH-1.1-str,4.0,30.0,30,1.0,0.82,0.14,0.2,0.25,0.18,0.9,0.79,2.43,0.32,0.38,0.16
