element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Re,PSL-US-v1-high,29.0,55.0,60,9.28,0.0,0.1,0.06,0.1,0.05,0.01,0.02,0.03,0.05,0.02,0.03
Re,GBRV-1.X,15.0,30.0,30,1.0,0.0,0.06,0.09,0.09,0.07,0.02,0.02,0.11,0.04,0.03,0.03
Re,DOJO-041-std,15.0,50.0,50,2.15,0.03,0.14,0.15,0.15,0.09,0.08,0.04,0.04,0.11,0.05,0.06
Re,PSL-PAW-v1-high,29.0,55.0,60,9.28,0.04,0.17,0.17,0.18,0.11,0.09,0.04,0.04,0.11,0.05,0.05
Re,SG15,15.0,35.0,40,1.26,0.05,0.18,0.18,0.18,0.14,0.12,0.04,0.05,0.14,0.05,0.07
Re,SPMS,15.0,30.0,30,1.0,0.07,0.22,0.17,0.14,0.25,0.04,0.07,0.17,0.1,0.05,0.04
Re,JTH-1.1-std,15.0,30.0,30,1.0,0.1,0.05,0.06,0.06,0.04,0.03,0.16,0.41,0.02,0.19,0.11
Re,PSL-US-v1-low,15.0,45.0,50,1.84,0.34,0.41,0.44,0.38,0.35,0.5,0.46,0.54,0.39,0.49,0.39
Re,PSL-PAW-v1-low,15.0,45.0,50,1.84,0.35,0.42,0.44,0.39,0.36,0.5,0.47,0.55,0.4,0.49,0.39
