element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Ca,PSL-PAW-v1-high,10.0,50.0,55,2.15,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.06,0.0,0.08
Ca,PSL-US-v1-high,10.0,50.0,55,2.15,0.0,0.1,0.02,0.03,0.03,0.04,0.01,0.04,0.01,0.02,0.06
Ca,JTH-1.1-std,10.0,35.0,40,1.26,0.0,0.01,0.01,0.01,0.02,0.04,0.04,0.02,0.08,0.04,0.11
Ca,DOJO-041-std,10.0,200.0,200,17.21,0.0,0.02,0.06,0.04,0.04,0.04,0.05,0.03,0.11,0.05,0.11
Ca,GBRV-1.X,10.0,30.0,30,1.0,0.01,0.03,0.01,0.0,0.02,0.03,0.05,0.02,0.07,0.05,0.12
Ca,SG15,10.0,35.0,35,1.26,0.04,0.21,0.15,0.13,0.13,0.08,0.11,0.15,0.06,0.12,0.02
Ca,SPMS,10.0,30.0,30,1.0,0.22,0.58,0.37,0.32,0.31,0.05,0.03,0.03,0.38,0.03,0.04
