element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Zr,JTH-1.1-std,12.0,30.0,30,1.0,0.01,0.08,0.05,0.05,0.06,0.12,0.11,0.13,0.1,0.12,0.09
Zr,GBRV-1.X,12.0,30.0,30,1.0,0.02,0.09,0.05,0.05,0.09,0.13,0.12,0.14,0.12,0.13,0.09
Zr,PSL-PAW-v1-high,12.0,40.0,40,1.54,0.04,0.06,0.06,0.06,0.16,0.15,0.15,0.15,0.08,0.14,0.1
Zr,SG15,12.0,45.0,45,1.84,0.04,0.02,0.02,0.02,0.14,0.13,0.18,0.18,0.05,0.16,0.12
Zr,DOJO-041-std,12.0,200.0,200,17.21,0.06,0.09,0.11,0.11,0.21,0.18,0.17,0.16,0.1,0.16,0.12
Zr,PSL-US-v1-high,12.0,40.0,40,1.54,0.08,0.13,0.15,0.15,0.26,0.21,0.18,0.16,0.14,0.17,0.13
Zr,SPMS,12.0,30.0,30,1.0,0.37,0.18,0.18,0.21,0.43,0.55,0.66,0.66,0.28,0.61,0.46
Zr,PSL-PAW-v0.x,12.0,30.0,45,1.0,0.8,0.53,0.42,0.43,1.07,1.1,1.13,1.16,0.74,1.09,0.8
Zr,PSL-US-v0.x,12.0,30.0,45,1.0,0.81,0.55,0.44,0.45,1.09,1.11,1.14,1.17,0.76,1.1,0.81
