element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Lu,PSL-PAW-v1-high,35.0,150.0,150,89.82,0.03,0.1,0.11,0.1,0.09,0.07,0.12,0.19,0.09,0.08,0.1
Lu,Wentzcovitch,25.0,35.0,60,5.17,0.31,0.13,0.15,0.07,0.36,0.37,0.39,0.9,0.25,0.34,0.2
Lu,DOJO-041-std,25.0,200.0,200,70.56,0.48,0.91,0.24,0.31,0.72,0.06,0.28,1.15,0.35,0.14,0.17
Lu,PSL-US-v1-high,35.0,150.0,150,89.82,0.49,0.55,0.85,0.24,1.01,0.14,0.19,0.4,0.92,0.14,0.13
Lu,PSL-US-v1-low,11.0,35.0,35,1.0,2.79,0.44,0.66,1.03,0.2,5.02,2.55,1.9,3.58,4.54,3.47
Lu,PSL-PAW-v1-low,11.0,35.0,35,1.0,2.82,0.33,0.56,0.92,0.06,5.11,2.58,1.88,3.69,4.57,3.5
