element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Co,GBRV-1.X,17.0,35.0,35,4.5,0.03,0.12,0.15,0.17,0.09,0.07,0.07,0.13,0.08,0.15,0.07
Co,DOJO-041-std,17.0,200.0,200,61.42,0.05,0.09,0.05,0.08,0.07,0.2,0.01,0.2,0.03,0.18,0.06
Co,DOJO-041-str,17.0,90.0,90,18.54,0.07,0.13,0.06,0.1,0.1,0.27,0.01,0.2,0.05,0.18,0.07
Co,PSL-US-v1-low,9.0,30.0,50,1.0,0.18,0.39,0.21,0.25,0.27,0.11,0.08,0.5,0.19,0.12,0.03
Co,PSL-PAW-v1-low,9.0,45.0,50,1.84,0.19,0.36,0.24,0.25,0.28,0.15,0.08,0.55,0.19,0.15,0.04
Co,SPMS,17.0,50.0,55,7.68,0.22,0.34,0.15,0.09,0.39,0.32,0.12,0.07,0.63,0.11,0.07
Co,JTH-1.1-std,17.0,40.0,40,5.49,0.38,0.47,0.48,0.5,0.7,0.34,0.31,0.68,0.33,0.44,0.16
Co,SG15,17.0,55.0,55,8.86,0.46,0.28,0.45,0.48,0.4,0.44,0.47,1.06,0.07,0.83,0.3
