element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Kr,PSL-PAW-v1-high,18.0,150.0,150,56.6,0.17,0.1,0.12,0.1,0.15,0.05,0.23,0.62,0.17,0.18,0.02
Kr,PSL-US-v1-high,18.0,120.0,150,40.5,0.3,0.25,0.56,0.36,0.25,0.15,0.35,0.8,0.14,0.29,0.11
Kr,DOJO-041-std,8.0,50.0,65,2.15,0.41,0.65,0.85,0.78,0.59,0.06,0.08,0.18,0.4,0.08,0.07
Kr,SPMS,8.0,50.0,50,2.15,0.44,0.7,0.92,0.84,0.63,0.06,0.07,0.18,0.42,0.07,0.08
Kr,JTH-1.1-std,8.0,45.0,45,1.84,0.55,0.67,0.64,0.58,0.77,0.72,0.48,0.15,1.0,0.54,0.56
Kr,SG15,8.0,30.0,50,1.0,1.0,0.54,0.73,0.66,0.49,0.33,0.84,2.91,0.23,0.7,0.39
