element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Mg,PSL-PAW-v1-low,10.0,80.0,80,3.46,0.0,0.04,0.02,0.03,0.03,0.01,0.02,0.02,0.04,0.02,0.06
Mg,PSL-US-v1-low,10.0,80.0,80,3.46,0.0,0.01,0.01,0.02,0.0,0.0,0.02,0.02,0.02,0.02,0.05
Mg,GBRV-1.X,10.0,35.0,35,1.0,0.0,0.03,0.03,0.03,0.01,0.01,0.03,0.02,0.04,0.03,0.06
Mg,PSL-PAW-v1-high,10.0,80.0,100,3.46,0.02,0.04,0.06,0.05,0.02,0.12,0.07,0.16,0.1,0.09,0.0
Mg,SPMS,10.0,50.0,50,1.71,0.12,0.08,0.09,0.1,0.06,0.22,0.1,0.45,0.05,0.19,0.12
Mg,DOJO-041-std,10.0,200.0,200,13.66,0.14,0.19,0.2,0.2,0.17,0.33,0.2,0.36,0.26,0.23,0.08
Mg,PSL-US-v1-high,10.0,80.0,100,3.46,0.18,0.31,0.34,0.31,0.28,0.31,0.17,0.3,0.28,0.19,0.07
Mg,SG15,10.0,70.0,80,2.83,0.2,0.15,0.17,0.19,0.2,0.39,0.18,0.59,0.15,0.27,0.14
Mg,JTH-1.1-std,10.0,50.0,50,1.71,0.97,0.19,0.33,0.32,0.23,1.45,0.97,2.35,0.36,1.35,0.26
