element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Cs,SPMS,9.0,35.0,35,1.26,0.09,0.1,0.08,0.08,0.1,0.11,0.11,0.37,0.13,0.06,0.18
Cs,PSL-PAW-v1-high,9.0,30.0,30,1.0,0.14,0.24,0.19,0.19,0.24,0.17,0.03,0.42,0.2,0.12,0.24
Cs,DOJO-041-std,9.0,55.0,55,2.48,0.19,0.1,0.08,0.08,0.1,0.13,0.06,0.69,0.16,0.11,0.25
Cs,PSL-PAW-v1-low,9.0,30.0,40,1.0,1.46,0.15,0.12,0.13,0.16,0.51,1.56,4.3,0.43,1.03,0.6
Cs,PSL-US-v1-low,9.0,30.0,40,1.0,1.5,0.07,0.02,0.02,0.07,0.56,1.67,4.37,0.47,1.13,0.67
Cs,GBRV-1.X,9.0,30.0,30,1.0,1.65,0.07,0.05,0.06,0.08,0.73,1.62,4.76,0.6,1.22,1.29
Cs,SG15,9.0,35.0,40,1.26,1.85,0.05,0.04,0.04,0.06,0.69,1.92,5.44,0.59,1.31,0.84
Cs,JTH-1.1-std,9.0,75.0,90,3.95,3.49,0.01,0.0,0.01,0.04,1.48,3.81,9.84,1.25,2.61,1.97
