element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Tm,PSL-PAW-v1-high,33.0,150.0,150,100.62,0.15,0.07,0.24,0.1,0.53,0.06,0.03,0.06,0.27,0.03,0.05
Tm,Wentzcovitch,23.0,120.0,150,34.98,3.48,5.13,4.15,4.62,7.44,0.5,0.81,1.79,1.37,0.48,0.36
Tm,JTH-1.1-std,23.0,150.0,150,48.88,5.26,3.74,3.0,3.71,7.62,4.35,6.08,8.73,3.31,5.58,4.24
Tm,PSL-US-v1-low,11.0,30.0,45,1.0,14.38,11.54,12.19,17.1,36.32,6.92,1.45,10.71,4.3,3.3,0.67
Tm,PSL-PAW-v1-low,11.0,30.0,45,1.0,14.4,11.58,12.23,17.13,36.36,6.95,1.44,10.7,4.34,3.31,0.68
