element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Ne,PSL-PAW-v1-high,8.0,100.0,150,2.83,0.05,0.12,0.13,0.11,0.2,0.15,0.03,0.08,0.19,0.0,0.06
Ne,JTH-1.1-std,8.0,150.0,150,5.2,0.14,0.18,0.21,0.2,0.26,0.18,0.27,0.41,0.14,0.26,0.09
Ne,SPMS,8.0,65.0,90,1.48,0.83,1.31,1.62,1.4,0.88,0.41,0.2,0.59,0.81,0.2,0.03
Ne,DOJO-041-std,8.0,100.0,100,2.83,0.88,1.41,1.72,1.47,0.95,0.51,0.11,0.41,0.88,0.1,0.03
Ne,DOJO-041-str,8.0,200.0,200,8.0,0.97,1.43,2.03,1.54,0.98,0.54,0.1,0.4,0.94,0.09,0.03
Ne,SG15,8.0,100.0,150,2.83,3.8,0.67,0.36,0.41,1.31,2.51,4.37,9.44,1.13,4.93,2.72
Ne,PSL-US-v1-high,8.0,50.0,60,1.0,17.74,22.26,35.94,14.39,15.64,3.45,5.82,8.79,27.34,6.1,5.38
