element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
He,PSL-PAW-v1-high,2.0,120.0,120,4.35,0.07,0.02,0.04,0.03,0.03,0.24,0.06,0.21,0.23,0.09,0.08
He,PSL-US-v1-high,2.0,100.0,100,3.31,0.08,0.05,0.09,0.16,0.25,0.21,0.04,0.19,0.25,0.09,0.09
He,JTH-1.1-std,2.0,100.0,100,3.31,0.2,0.05,0.03,0.05,0.06,0.3,0.16,0.67,0.21,0.27,0.06
He,SPMS,2.0,80.0,80,2.37,0.3,0.59,0.49,0.51,0.35,0.12,0.03,0.08,0.64,0.02,0.12
He,DOJO-041-std,2.0,80.0,80,2.37,0.31,0.58,0.51,0.51,0.35,0.12,0.05,0.05,0.65,0.04,0.12
He,SG15,2.0,45.0,45,1.0,0.6,0.3,0.28,0.28,0.09,0.68,0.54,1.57,0.32,0.96,0.07
