element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,myscore,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Ge,PSL-PAW-v1-high,14.0,55.0,60,486.5396,0.1833,0.3532,0.0233,0.0293,0.0338,0.0151,0.0528,0.3559,0.5885,0.0363,0.2787,0.1061
Rh,SG15,17.0,30.0,30,289.0,0.1839,0.1108,0.028,0.0385,0.0914,0.0428,0.0322,0.2359,0.5871,0.023,0.3663,0.2075
Sr,PSL-PAW-v0.x,10.0,30.0,40,100.0,0.1839,0.1472,0.0163,0.0115,0.0133,0.0278,0.2658,0.3067,0.5028,0.3075,0.3178,0.2238
Tl,SPMS,13.0,30.0,30,169.0,0.1847,0.1033,0.166,0.2416,0.2405,0.0785,0.1015,0.0993,0.6436,0.1362,0.0085,0.0118
Pd,DOJO-041-std,18.0,200.0,200,5577.096,0.1861,1.8339,0.2301,0.3948,0.3421,0.2116,0.1182,0.1398,0.505,0.1754,0.0879,0.0216
Ge,PSL-US-v1-high,14.0,55.0,60,486.5396,0.1885,0.3535,0.0239,0.0334,0.0316,0.028,0.0637,0.3415,0.6165,0.0471,0.2737,0.0927
Sr,PSL-US-v0.x,10.0,30.0,40,100.0,0.1887,0.1515,0.0431,0.0022,0.0054,0.0205,0.2718,0.3099,0.5093,0.3238,0.3204,0.2279
Ga,SG15,13.0,120.0,120,1352.0,0.1889,1.013,0.1516,0.0151,0.0332,0.2124,0.1366,0.2954,0.5991,0.0326,0.3296,0.1051
Th,PSL-PAW-v1-high,12.0,70.0,75,513.2485,0.1891,0.5629,0.2649,0.2658,0.2199,0.3769,0.3323,0.3196,0.0545,0.2959,0.3266,0.2408
Be,GBRV-1.X,4.0,35.0,35,20.1623,0.1892,0.1713,0.3322,0.4647,0.4719,0.259,0.1431,0.0514,0.1744,0.1055,0.0844,0.0145
Co,PSL-PAW-v1-low,9.0,45.0,50,148.8065,0.1901,0.2826,0.3621,0.239,0.2468,0.2827,0.1497,0.0758,0.5524,0.194,0.1493,0.0405
Pr,PSL-PAW-v1-high,23.0,200.0,200,9105.8142,0.1927,1.8204,0.3377,0.5715,0.393,0.1058,0.0815,0.0281,0.1814,0.0698,0.0495,0.038
Cs,DOJO-041-std,9.0,55.0,55,201.07,0.1935,0.3426,0.096,0.0769,0.0789,0.1009,0.1284,0.0567,0.6901,0.161,0.107,0.2467
Pb,SPMS,14.0,30.0,30,196.0,0.1957,0.1287,0.1054,0.1136,0.1419,0.0741,0.2105,0.3234,0.6238,0.0696,0.3087,0.131
Mg,SG15,10.0,70.0,80,356.4226,0.1969,0.5473,0.1524,0.1713,0.1917,0.1994,0.3863,0.1752,0.592,0.1539,0.2659,0.1372
Sn,DOJO-041-str,22.0,90.0,90,2514.9378,0.1979,0.7865,0.2941,0.33,0.2443,0.326,0.1659,0.339,0.3412,0.2942,0.3257,0.244
Np,PSL-US-v1-high,15.0,80.0,120,979.7959,0.2015,0.6467,0.1122,0.1337,0.0545,0.4196,0.4402,0.3025,0.2723,0.2395,0.3751,0.2446
Mn,PSL-US-v1-high,15.0,200.0,200,3872.9833,0.2016,1.8813,0.3977,0.3324,0.3516,0.3322,0.2217,0.2019,0.3368,0.3154,0.2293,0.1443
He,JTH-1.1-std,2.0,100.0,100,24.3432,0.202,0.8227,0.0515,0.0268,0.0492,0.0558,0.2964,0.1627,0.6709,0.205,0.269,0.056
Br,PSL-PAW-v1-high,17.0,80.0,120,1258.4934,0.2025,0.5912,0.0272,0.0414,0.056,0.0335,0.071,0.2188,0.7246,0.0839,0.1771,0.0507
Ge,SPMS,14.0,45.0,45,360.075,0.2025,0.2541,0.0438,0.058,0.1104,0.0774,0.1142,0.2751,0.7095,0.12,0.1811,0.1265
