element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Rn,PSL-PAW-v1-high,18.0,150.0,150,56.6,1.11,0.05,0.05,0.03,0.05,0.45,1.37,2.78,0.35,1.2,1.53
Rn,PSL-US-v1-high,18.0,150.0,150,56.6,1.12,0.21,0.33,0.41,0.27,0.44,1.36,2.79,0.31,1.2,1.55
Rn,DOJO-041-std,18.0,70.0,80,18.04,1.22,0.96,1.42,1.51,1.02,0.28,1.17,2.57,0.04,1.0,1.32
Rn,JTH-1.1-std,8.0,30.0,45,1.0,2.77,0.65,0.64,0.67,0.79,0.08,2.48,7.73,0.68,1.92,2.93
Rn,DOJO-050-std,18.0,90.0,100,26.31,7.52,8.61,9.21,9.39,9.8,4.46,4.15,3.28,12.38,4.48,3.9
