element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
Ru,GBRV-1.X,16.0,30.0,30,1.0,0.04,0.15,0.15,0.16,0.15,0.13,0.13,0.15,0.15,0.14,0.1
Ru,PSL-PAW-v1-high,16.0,40.0,55,1.54,0.08,0.12,0.09,0.07,0.13,0.12,0.16,0.34,0.09,0.16,0.1
Ru,SPMS,16.0,35.0,40,1.26,0.1,0.1,0.11,0.12,0.14,0.04,0.14,0.42,0.01,0.11,0.06
Ru,PSL-US-v1-high,16.0,40.0,55,1.54,0.12,0.21,0.21,0.17,0.19,0.21,0.2,0.37,0.15,0.2,0.14
Ru,DOJO-041-std,16.0,200.0,200,17.21,0.15,0.22,0.21,0.18,0.21,0.22,0.23,0.44,0.15,0.23,0.16
Ru,SG15,16.0,30.0,30,1.0,0.15,0.08,0.04,0.04,0.16,0.02,0.24,0.53,0.06,0.19,0.18
Ru,JTH-1.1-std,16.0,30.0,30,1.0,0.31,0.24,0.07,0.06,0.36,0.43,0.41,0.78,0.28,0.48,0.27
