+---------------------------------------------+---------+---------------------+
|                                             | element |   cohesive_energy   |
| Sb.nc.pbe.z_15.oncvpsp3.dojo.v0.4.1-std.upf |   Sb    |  -3.8948985810562   |
| Sc.nc.pbe.z_11.oncvpsp3.dojo.v0.4.1-std.upf |   Sc    |   -2.901259199826   |
| Se.nc.pbe.z_16.oncvpsp3.dojo.v0.4.1-std.upf |   Se    |   -3.088733182527   |
| Si.nc.pbe.z_4.oncvpsp3.dojo.v0.4.1-std.upf  |   Si    |  -5.4182727124371   |
| Sn.nc.pbe.z_14.oncvpsp3.dojo.v0.4.1-std.upf |   Sn    |  -3.8441673104267   |
| Sr.nc.pbe.z_10.oncvpsp3.dojo.v0.4.1-std.upf |   Sr    |  -0.85600393167999  |
| Ta.nc.pbe.z_13.oncvpsp3.dojo.v0.4.1-std.upf |   Ta    |  -7.0855951983215   |
| Tc.nc.pbe.z_15.oncvpsp3.dojo.v0.4.1-std.upf |   Tc    |   -8.985876514882   |
| Te.nc.pbe.z_16.oncvpsp3.dojo.v0.4.1-std.upf |   Te    |   -2.824065607077   |
| Ti.nc.pbe.z_12.oncvpsp3.dojo.v0.4.1-std.upf |   Ti    |   -4.741779420164   |
| Tl.nc.pbe.z_13.oncvpsp3.dojo.v0.4.1-std.upf |   Tl    |  -1.9577876093638   |
| V.nc.pbe.z_13.oncvpsp3.dojo.v0.4.1-std.upf  |    V    |  -6.2749646838899   |
| W.nc.pbe.z_14.oncvpsp3.dojo.v0.4.1-std.upf  |    W    |  -8.9448084827004   |
| Xe.nc.pbe.z_8.oncvpsp3.dojo.v0.4.1-std.upf  |   Xe    | -0.015401779109993  |
| Y.nc.pbe.z_11.oncvpsp3.dojo.v0.4.1-std.upf  |    Y    |  -2.8734997790839   |
| Zn.nc.pbe.z_20.oncvpsp3.dojo.v0.4.1-std.upf |   Zn    |  -0.67008698429981  |
| Zr.nc.pbe.z_12.oncvpsp3.dojo.v0.4.1-std.upf |   Zr    |  -5.1630773514978   |
+---------------------------------------------+---------+---------------------+
