+------------------------------------------+---------+---------------------+
|                                          | element |   cohesive_energy   |
| Rh.paw.pbe.z_17.atompaw.jth.v1.1-std.upf |   Rh    |  -5.4678805609628   |
| Rn.paw.pbe.z_8.atompaw.jth.v1.1-std.upf  |   Rn    | -0.018248905500514  |
| Ru.paw.pbe.z_16.atompaw.jth.v1.1-std.upf |   Ru    |  -7.8322627029784   |
|  S.paw.pbe.z_6.atompaw.jth.v1.1-std.upf  |    S    |  -3.2125138882071   |
| Sb.paw.pbe.z_15.atompaw.jth.v1.1-std.upf |   Sb    |  -3.8959268314002   |
| Sc.paw.pbe.z_11.atompaw.jth.v1.1-std.upf |   Sc    |  -2.9027956224454   |
| Se.paw.pbe.z_6.atompaw.jth.v1.1-std.upf  |   Se    |  -3.0863353154273   |
| Si.paw.pbe.z_4.atompaw.jth.v1.1-std.upf  |   Si    |  -5.4208433718571   |
| Sm.paw.pbe.z_16.atompaw.jth.v1.1-std.upf |   Sm    |  -4.9867137085566   |
| Sn.paw.pbe.z_14.atompaw.jth.v1.1-std.upf |   Sn    |   -3.841368823928   |
| Sr.paw.pbe.z_10.atompaw.jth.v1.1-std.upf |   Sr    |  -0.85704680800018  |
| Ta.paw.pbe.z_13.atompaw.jth.v1.1-std.upf |   Ta    |  -7.0804302055221   |
| Tb.paw.pbe.z_19.atompaw.jth.v1.1-std.upf |   Tb    |  -3.4989819997263   |
| Tc.paw.pbe.z_15.atompaw.jth.v1.1-std.upf |   Tc    |  -9.0062988622803   |
| Te.paw.pbe.z_6.atompaw.jth.v1.1-std.upf  |   Te    |  -2.8257873393277   |
| Ti.paw.pbe.z_12.atompaw.jth.v1.1-std.upf |   Ti    |  -4.7304345862694   |
| Tl.paw.pbe.z_13.atompaw.jth.v1.1-std.upf |   Tl    |  -1.9543746212639   |
| Tm.paw.pbe.z_23.atompaw.jth.v1.1-std.upf |   Tm    |   -1.788575458364   |
| V.paw.pbe.z_13.atompaw.jth.v1.1-std.upf  |    V    |  -6.2525968586979   |
| W.paw.pbe.z_14.atompaw.jth.v1.1-std.upf  |    W    |   -8.935153067252   |
| Xe.paw.pbe.z_8.atompaw.jth.v1.1-std.upf  |   Xe    |  -0.01515306679994  |
| Y.paw.pbe.z_11.atompaw.jth.v1.1-std.upf  |    Y    |  -2.8782095933198   |
| Yb.paw.pbe.z_24.atompaw.jth.v1.1-std.upf |   Yb    |  -0.91319280320749  |
| Zn.paw.pbe.z_12.atompaw.jth.v1.1-std.upf |   Zn    |  -0.69081130994982  |
| Zr.paw.pbe.z_12.atompaw.jth.v1.1-std.upf |   Zr    |  -5.1733974047302   |
+------------------------------------------+---------+---------------------+
