+------------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
|                                          | bands |  eos  | phonon_frequencies | pressure | cohesive_energy |  max  |
| Mo.paw.pbe.z_14.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|  N.paw.pbe.z_5.atompaw.jth.v1.1-std.upf  | 35.0  | 40.0  |        30.0        |   45.0   |      30.0       | 45.0  |
| Na.paw.pbe.z_9.atompaw.jth.v1.1-std.upf  | 30.0  | 50.0  |        30.0        |  100.0   |      30.0       | 100.0 |
| Nb.paw.pbe.z_13.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Nd.paw.pbe.z_14.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Ne.paw.pbe.z_8.atompaw.jth.v1.1-std.upf  | 30.0  | 120.0 |        30.0        |  150.0   |      70.0       | 150.0 |
| Ni.paw.pbe.z_18.atompaw.jth.v1.1-std.upf | 35.0  | 55.0  |        30.0        |   75.0   |      30.0       | 75.0  |
|  O.paw.pbe.z_6.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
| Os.paw.pbe.z_8.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        90.0        |   30.0   |      30.0       | 90.0  |
|  P.paw.pbe.z_5.atompaw.jth.v1.1-std.upf  | 30.0  | 40.0  |       120.0        |   30.0   |      30.0       | 120.0 |
| Pb.paw.pbe.z_14.atompaw.jth.v1.1-std.upf | 30.0  | 35.0  |        30.0        |   55.0   |      30.0       | 55.0  |
| Pd.paw.pbe.z_18.atompaw.jth.v1.1-std.upf | 30.0  | 40.0  |        70.0        |   35.0   |      30.0       | 70.0  |
| Pm.paw.pbe.z_15.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Po.paw.pbe.z_6.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Pr.paw.pbe.z_13.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Pt.paw.pbe.z_10.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Rb.paw.pbe.z_9.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Re.paw.pbe.z_15.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Rh.paw.pbe.z_17.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Rn.paw.pbe.z_8.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        30.0        |   40.0   |      30.0       | 40.0  |
| Ru.paw.pbe.z_16.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|  S.paw.pbe.z_6.atompaw.jth.v1.1-std.upf  | 30.0  | 35.0  |        30.0        |   30.0   |      30.0       | 35.0  |
| Sb.paw.pbe.z_15.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Sc.paw.pbe.z_11.atompaw.jth.v1.1-std.upf | 30.0  | 55.0  |        30.0        |   50.0   |      30.0       | 55.0  |
| Se.paw.pbe.z_6.atompaw.jth.v1.1-std.upf  | 30.0  |  nan  |        nan         |   nan    |      30.0       | 200.0 |
| Si.paw.pbe.z_4.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        nan         |   30.0   |      30.0       | 200.0 |
| Sm.paw.pbe.z_16.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Sn.paw.pbe.z_14.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
| Sr.paw.pbe.z_10.atompaw.jth.v1.1-std.upf | 30.0  | 50.0  |        30.0        |   30.0   |      30.0       | 50.0  |
| Ta.paw.pbe.z_13.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Tb.paw.pbe.z_19.atompaw.jth.v1.1-std.upf | 30.0  | 50.0  |        30.0        |   90.0   |      30.0       | 90.0  |
| Tc.paw.pbe.z_15.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Te.paw.pbe.z_6.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Ti.paw.pbe.z_12.atompaw.jth.v1.1-std.upf | 30.0  | 45.0  |        30.0        |   30.0   |      30.0       | 45.0  |
| Tl.paw.pbe.z_13.atompaw.jth.v1.1-std.upf | 30.0  | 35.0  |        30.0        |   55.0   |      30.0       | 55.0  |
| Tm.paw.pbe.z_23.atompaw.jth.v1.1-std.upf | 30.0  | 45.0  |        30.0        |  150.0   |      30.0       | 150.0 |
| V.paw.pbe.z_13.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| W.paw.pbe.z_14.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Xe.paw.pbe.z_8.atompaw.jth.v1.1-std.upf  | 30.0  | 30.0  |       150.0        |   30.0   |      30.0       | 150.0 |
| Y.paw.pbe.z_11.atompaw.jth.v1.1-std.upf  | 30.0  | 80.0  |        30.0        |   50.0   |      30.0       | 80.0  |
| Yb.paw.pbe.z_24.atompaw.jth.v1.1-std.upf | 30.0  | 65.0  |        30.0        |  120.0   |      30.0       | 120.0 |
| Zn.paw.pbe.z_12.atompaw.jth.v1.1-std.upf | 30.0  | 35.0  |        30.0        |  120.0   |      30.0       | 120.0 |
| Zr.paw.pbe.z_12.atompaw.jth.v1.1-std.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
+------------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
