+----------------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
|                                              | bands |  eos  | phonon_frequencies | pressure | cohesive_energy |  max  |
| La.us.pbe.z_11.ld1.psl.v1.0.0-high.spfn.upf  | 50.0  | 50.0  |        nan         |   50.0   |      30.0       | 200.0 |
| La.us.pbe.z_21.ld1.psl.v1.0.0-high.spdfn.upf | 100.0 |  nan  |        60.0        |   nan    |       nan       | 200.0 |
|    Li.us.pbe.z_3.ld1.psl.v1.0.0-high.upf     | 55.0  | 90.0  |        30.0        |  100.0   |      30.0       | 100.0 |
|    Lu.us.pbe.z_35.ld1.psl.v1.0.0-high.upf    | 120.0 | 150.0 |        nan         |  150.0   |      75.0       | 200.0 |
|    Mg.us.pbe.z_10.ld1.psl.v1.0.0-high.upf    | 60.0  | 90.0  |        30.0        |   75.0   |      30.0       | 90.0  |
|    Mn.us.pbe.z_15.ld1.psl.v1.0.0-high.upf    | 40.0  | 40.0  |        30.0        |   75.0   |       nan       | 200.0 |
|    Mo.us.pbe.z_14.ld1.psl.v1.0.0-high.upf    | 35.0  | 35.0  |        30.0        |   40.0   |      30.0       | 40.0  |
|     N.us.pbe.z_5.ld1.psl.v1.0.0-high.upf     | 30.0  | 35.0  |        nan         |   40.0   |      30.0       | 200.0 |
|    Na.us.pbe.z_9.ld1.psl.v1.0.0-high.upf     | 40.0  | 65.0  |        30.0        |   80.0   |      30.0       | 80.0  |
|    Nb.us.pbe.z_13.ld1.psl.v1.0.0-high.upf    | 30.0  | 30.0  |        30.0        |   60.0   |      30.0       | 60.0  |
|    Nd.us.pbe.z_24.ld1.psl.v1.0.0-high.upf    | 75.0  | 80.0  |        50.0        |  120.0   |      65.0       | 120.0 |
|    Ne.us.pbe.z_8.ld1.psl.v1.0.0-high.upf     | 30.0  | 35.0  |        30.0        |   40.0   |      30.0       | 40.0  |
|    Ni.us.pbe.z_18.ld1.psl.v1.0.0-high.upf    | 45.0  | 55.0  |        30.0        |   90.0   |      35.0       | 90.0  |
|    Np.us.pbe.z_15.ld1.psl.v1.0.0-high.upf    | 70.0  | 75.0  |        nan         |   80.0   |      65.0       | 200.0 |
|     O.us.pbe.z_6.ld1.psl.v1.0.0-high.upf     | 35.0  | 35.0  |        30.0        |   40.0   |      30.0       | 40.0  |
|    Os.us.pbe.z_30.ld1.psl.v1.0.0-high.upf    | 75.0  | 45.0  |       120.0        |   75.0   |      35.0       | 120.0 |
|     P.us.pbe.z_5.ld1.psl.v1.0.0-high.upf     | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|    Pa.us.pbe.z_13.ld1.psl.v1.0.0-high.upf    | 70.0  | 65.0  |        nan         |   80.0   |      60.0       | 200.0 |
|    Pb.us.pbe.z_14.ld1.psl.v1.0.0-high.upf    | 35.0  | 40.0  |        30.0        |   70.0   |      30.0       | 70.0  |
|    Pd.us.pbe.z_18.ld1.psl.v1.0.0-high.upf    | 40.0  | 40.0  |        30.0        |   75.0   |      30.0       | 75.0  |
|    Pm.us.pbe.z_25.ld1.psl.v1.0.0-high.upf    | 75.0  | 80.0  |        55.0        |  120.0   |      65.0       | 120.0 |
|    Po.us.pbe.z_16.ld1.psl.v1.0.0-high.upf    | 35.0  | 35.0  |        nan         |   70.0   |      35.0       | 200.0 |
|    Pr.us.pbe.z_23.ld1.psl.v1.0.0-high.upf    | 100.0 | 100.0 |        nan         |  150.0   |      80.0       | 200.0 |
|    Pt.us.pbe.z_32.ld1.psl.v1.0.0-high.upf    | 80.0  | 55.0  |        30.0        |   90.0   |      35.0       | 90.0  |
|    Pu.us.pbe.z_16.ld1.psl.v1.0.0-high.upf    | 30.0  | 35.0  |        30.0        |   40.0   |      30.0       | 40.0  |
|    Ra.us.pbe.z_20.ld1.psl.v1.0.0-high.upf    | 55.0  | 150.0 |        nan         |  120.0   |      35.0       | 200.0 |
|    Rb.us.pbe.z_9.ld1.psl.v1.0.0-high.upf     | 30.0  | 30.0  |        30.0        |   65.0   |      30.0       | 65.0  |
|    Re.us.pbe.z_29.ld1.psl.v1.0.0-high.upf    | 55.0  | 40.0  |        30.0        |   55.0   |      30.0       | 55.0  |
|    Rh.us.pbe.z_17.ld1.psl.v1.0.0-high.upf    | 35.0  | 40.0  |        40.0        |   55.0   |      30.0       | 55.0  |
|    Rn.us.pbe.z_18.ld1.psl.v1.0.0-high.upf    | 40.0  | 100.0 |        nan         |  150.0   |      35.0       | 200.0 |
|    Ru.us.pbe.z_16.ld1.psl.v1.0.0-high.upf    | 30.0  | 35.0  |        30.0        |   40.0   |      30.0       | 40.0  |
