+-------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
|                                     | bands |  eos  | phonon_frequencies | pressure | cohesive_energy |  max  |
| Pb.nc.pbe.z_14.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Pd.nc.pbe.z_18.oncvpsp4.spms.v1.upf | 35.0  | 35.0  |        30.0        |   45.0   |      30.0       | 45.0  |
| Pt.nc.pbe.z_18.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
| Rb.nc.pbe.z_9.oncvpsp4.spms.v1.upf  | 30.0  | 30.0  |       120.0        |   30.0   |      30.0       | 120.0 |
| Re.nc.pbe.z_15.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Rh.nc.pbe.z_17.oncvpsp4.spms.v1.upf | 35.0  | 35.0  |        30.0        |   40.0   |      30.0       | 40.0  |
| Ru.nc.pbe.z_16.oncvpsp4.spms.v1.upf | 35.0  | 30.0  |        70.0        |   40.0   |      30.0       | 70.0  |
|  S.nc.pbe.z_6.oncvpsp4.spms.v1.upf  | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
| Sb.nc.pbe.z_15.oncvpsp4.spms.v1.upf | 35.0  | 40.0  |        45.0        |   45.0   |      30.0       | 45.0  |
| Sc.nc.pbe.z_11.oncvpsp4.spms.v1.upf | 30.0  | 45.0  |        30.0        |   40.0   |      30.0       | 45.0  |
| Se.nc.pbe.z_16.oncvpsp4.spms.v1.upf | 50.0  | 50.0  |        45.0        |   55.0   |      35.0       | 55.0  |
| Si.nc.pbe.z_4.oncvpsp4.spms.v1.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Sn.nc.pbe.z_14.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
| Sr.nc.pbe.z_10.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        90.0        |   30.0   |      30.0       | 90.0  |
| Ta.nc.pbe.z_13.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Tc.nc.pbe.z_15.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        nan         |   30.0   |      30.0       | 200.0 |
| Te.nc.pbe.z_16.oncvpsp4.spms.v1.upf | 40.0  | 40.0  |        30.0        |   45.0   |      35.0       | 45.0  |
| Ti.nc.pbe.z_12.oncvpsp4.spms.v1.upf | 40.0  | 50.0  |        35.0        |   50.0   |      30.0       | 50.0  |
| Tl.nc.pbe.z_13.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        35.0        |   30.0   |      30.0       | 35.0  |
| V.nc.pbe.z_13.oncvpsp4.spms.v1.upf  | 50.0  | 55.0  |        35.0        |   60.0   |      30.0       | 60.0  |
| W.nc.pbe.z_14.oncvpsp4.spms.v1.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Xe.nc.pbe.z_8.oncvpsp4.spms.v1.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Y.nc.pbe.z_11.oncvpsp4.spms.v1.upf  | 30.0  | 35.0  |        30.0        |   35.0   |      30.0       | 35.0  |
| Zn.nc.pbe.z_20.oncvpsp4.spms.v1.upf | 50.0  | 55.0  |        50.0        |   55.0   |      35.0       | 55.0  |
| Zr.nc.pbe.z_12.oncvpsp4.spms.v1.upf | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
+-------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
