+---------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
|                                       | bands |  eos  | phonon_frequencies | pressure | cohesive_energy |  max  |
|    Rb.us.pbe.z_9.uspp.gbrv.v1.upf     | 30.0  | 30.0  |        70.0        |   30.0   |      30.0       | 70.0  |
|   Re.us.pbe.z_15.uspp.gbrv.v1.2.upf   | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|   Rh.us.pbe.z_15.uspp.gbrv.v1.4.upf   | 30.0  | 35.0  |        30.0        |   40.0   |      30.0       | 40.0  |
|   Ru.us.pbe.z_16.uspp.gbrv.v1.2.upf   | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|    S.us.pbe.z_6.uspp.gbrv.v1.4.upf    | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|   Sb.us.pbe.z_15.uspp.gbrv.v1.4.upf   | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
|    Sc.us.pbe.z_11.uspp.gbrv.v1.upf    | 30.0  | 30.0  |        30.0        |  150.0   |      30.0       | 150.0 |
|    Se.us.pbe.z_6.uspp.gbrv.v1.upf     | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|    Si.us.pbe.z_4.uspp.gbrv.v1.upf     | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|   Sn.us.pbe.z_14.uspp.gbrv.v1.4.upf   | 30.0  | 30.0  |        30.0        |  120.0   |      30.0       | 120.0 |
|    Sr.us.pbe.z_10.uspp.gbrv.v1.upf    | 30.0  | 30.0  |        45.0        |   35.0   |      30.0       | 45.0  |
|    Ta.us.pbe.z_13.uspp.gbrv.v1.upf    | 30.0  | 30.0  |        30.0        |   45.0   |      30.0       | 45.0  |
|    Tc.us.pbe.z_15.uspp.gbrv.v1.upf    | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|    Te.us.pbe.z_6.uspp.gbrv.v1.upf     | 30.0  | 30.0  |       120.0        |   30.0   |      30.0       | 120.0 |
|   Ti.us.pbe.z_12.uspp.gbrv.v1.4.upf   | 30.0  | 30.0  |        30.0        |   80.0   |      30.0       | 80.0  |
|   Tl.us.pbe.z_13.uspp.gbrv.v1.2.upf   | 30.0  | 35.0  |        30.0        |  150.0   |      30.0       | 150.0 |
|   V.us.pbe.z_13.uspp.gbrv.v1.4.upf    | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
|   W.us.pbe.z_14.uspp.gbrv.v1.2.upf    | 30.0  | 30.0  |        30.0        |   45.0   |      30.0       | 45.0  |
|   Y.us.pbe.z_11.uspp.gbrv.v1.4.upf    | 30.0  | 45.0  |        30.0        |  100.0   |      30.0       | 100.0 |
|    Zn.us.pbe.z_20.uspp.gbrv.v1.upf    | 30.0  | 35.0  |        60.0        |  150.0   |      30.0       | 150.0 |
|    Zr.us.pbe.z_12.uspp.gbrv.v1.upf    | 30.0  | 30.0  |        40.0        |   30.0   |      30.0       | 40.0  |
+---------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
