+---------------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
|                                             | bands |  eos  | phonon_frequencies | pressure | cohesive_energy |  max  |
| Ne.nc.pbe.z_8.oncvpsp3.dojo.v0.4.1-std.upf  | 50.0  | 100.0 |        60.0        |  100.0   |      35.0       | 100.0 |
| Ni.nc.pbe.z_18.oncvpsp3.dojo.v0.4.1-std.upf | 75.0  | 75.0  |        55.0        |   90.0   |      55.0       | 90.0  |
|  O.nc.pbe.z_6.oncvpsp3.dojo.v0.4.1-std.upf  | 55.0  | 60.0  |        45.0        |   75.0   |      50.0       | 75.0  |
| Os.nc.pbe.z_16.oncvpsp3.dojo.v0.4.1-std.upf | 40.0  | 45.0  |        70.0        |   60.0   |      30.0       | 70.0  |
|  P.nc.pbe.z_5.oncvpsp3.dojo.v0.4.1-std.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Pb.nc.pbe.z_14.oncvpsp3.dojo.v0.4.1-std.upf | 30.0  | 45.0  |        30.0        |   50.0   |      30.0       | 50.0  |
| Pd.nc.pbe.z_18.oncvpsp3.dojo.v0.4.1-std.upf | 55.0  | 50.0  |        35.0        |   75.0   |      35.0       | 75.0  |
| Po.nc.pbe.z_16.oncvpsp3.dojo.v0.4.1-std.upf | 35.0  | 50.0  |        30.0        |   60.0   |      35.0       | 60.0  |
| Pt.nc.pbe.z_18.oncvpsp3.dojo.v0.4.1-std.upf | 50.0  | 55.0  |        65.0        |   75.0   |      30.0       | 75.0  |
| Rb.nc.pbe.z_9.oncvpsp3.dojo.v0.4.1-std.upf  | 30.0  | 35.0  |        80.0        |   45.0   |      30.0       | 80.0  |
| Re.nc.pbe.z_15.oncvpsp3.dojo.v0.4.1-std.upf | 35.0  | 35.0  |        30.0        |   55.0   |      30.0       | 55.0  |
| Rh.nc.pbe.z_17.oncvpsp3.dojo.v0.4.1-std.upf | 50.0  | 55.0  |        30.0        |   80.0   |      30.0       | 80.0  |
| Rn.nc.pbe.z_18.oncvpsp3.dojo.v0.4.1-std.upf | 40.0  | 65.0  |        30.0        |   80.0   |      35.0       | 80.0  |
| Ru.nc.pbe.z_16.oncvpsp3.dojo.v0.4.1-std.upf | 45.0  | 50.0  |       100.0        |   70.0   |      30.0       | 100.0 |
|  S.nc.pbe.z_6.oncvpsp3.dojo.v0.4.1-std.upf  | 30.0  | 30.0  |        30.0        |   35.0   |      30.0       | 35.0  |
| Sb.nc.pbe.z_15.oncvpsp3.dojo.v0.4.1-std.upf | 55.0  | 65.0  |        30.0        |   75.0   |      35.0       | 75.0  |
| Sc.nc.pbe.z_11.oncvpsp3.dojo.v0.4.1-std.upf | 55.0  |  nan  |        30.0        |   75.0   |      30.0       | 200.0 |
| Se.nc.pbe.z_16.oncvpsp3.dojo.v0.4.1-std.upf | 65.0  | 65.0  |        60.0        |   80.0   |      35.0       | 80.0  |
| Si.nc.pbe.z_4.oncvpsp3.dojo.v0.4.1-std.upf  | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
| Sn.nc.pbe.z_14.oncvpsp3.dojo.v0.4.1-std.upf | 50.0  | 55.0  |        30.0        |   65.0   |      35.0       | 65.0  |
| Sr.nc.pbe.z_10.oncvpsp3.dojo.v0.4.1-std.upf | 35.0  | 50.0  |        90.0        |   60.0   |      30.0       | 90.0  |
| Ta.nc.pbe.z_13.oncvpsp3.dojo.v0.4.1-std.upf | 30.0  | 30.0  |        30.0        |   50.0   |      30.0       | 50.0  |
| Tc.nc.pbe.z_15.oncvpsp3.dojo.v0.4.1-std.upf | 40.0  | 55.0  |        30.0        |   70.0   |      30.0       | 70.0  |
| Te.nc.pbe.z_16.oncvpsp3.dojo.v0.4.1-std.upf | 50.0  | 60.0  |        30.0        |   70.0   |      35.0       | 70.0  |
| Ti.nc.pbe.z_12.oncvpsp3.dojo.v0.4.1-std.upf | 60.0  | 70.0  |        45.0        |   75.0   |      35.0       | 75.0  |
| Tl.nc.pbe.z_13.oncvpsp3.dojo.v0.4.1-std.upf | 30.0  | 40.0  |        35.0        |   55.0   |      35.0       | 55.0  |
| V.nc.pbe.z_13.oncvpsp3.dojo.v0.4.1-std.upf  | 60.0  | 70.0  |        50.0        |   75.0   |      45.0       | 75.0  |
| W.nc.pbe.z_14.oncvpsp3.dojo.v0.4.1-std.upf  | 35.0  | 40.0  |        30.0        |   55.0   |      30.0       | 55.0  |
| Xe.nc.pbe.z_8.oncvpsp3.dojo.v0.4.1-std.upf  | 30.0  | 50.0  |        30.0        |  120.0   |      30.0       | 120.0 |
| Y.nc.pbe.z_11.oncvpsp3.dojo.v0.4.1-std.upf  | 40.0  | 70.0  |        30.0        |   70.0   |      30.0       | 70.0  |
| Zn.nc.pbe.z_20.oncvpsp3.dojo.v0.4.1-std.upf | 65.0  | 65.0  |        60.0        |   75.0   |      35.0       | 75.0  |
| Zr.nc.pbe.z_12.oncvpsp3.dojo.v0.4.1-std.upf | 30.0  | 50.0  |        30.0        |   60.0   |      30.0       | 60.0  |
+---------------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
